IF potential<=0.3830004686524072 THEN Class=reject ,[4106.0; 4106.0],[0; 4106; 0],{0.0: 2561; 1.0: 1545},(0.09074259999999999)
IF extra_degree!=False AND german_speaking>=1.2820512820447076e-12 THEN Class=hire ,[1952.0; 2200.0],[2; 1950; 250],{0.0: 1363; 1.0: 839},(0.13974492703293762)
IF experiences<=0.0627659574468085 THEN Class=hire ,[81.0; 81.0],[0; 81; 0],{0.0: 54; 1.0: 27},(0.013120811710835057)
IF age>=18.0 AND dutch_speaking<=0.06666666666666667 THEN Class=hire ,[6.0; 6.0],[0; 6; 0],{0.0: 3; 1.0: 3},(1.661589587371919e-09)
IF age<=64.0 AND dutch_speaking>=0.4210526315771468 THEN Class=hire ,[6.0; 6.0],[0; 6; 0],{0.0: 5; 1.0: 1},(0.001019388620751345)
IF french_speaking<=0.15 THEN Class=hire ,[4.0; 4.0],[0; 4; 0],{1.0: 2; 0.0: 2},(0.000681860240113316)
IF age>=18.0 AND english_speaking<=0.1875 THEN Class=reject ,[4.0; 4.0],[0; 4; 0],{1.0: 2; 0.0: 2},(1.1126564673157164e-09)
IF german_speaking>=0.21739130434782608 THEN Class=reject ,[2.0; 2.0],[0; 2; 0],{0.0: 2},(0.00034245085469638073)
IF age>=18.0 AND experience<=45.0 AND english_speaking>=0.19444444444444445 AND english_speaking>=0.2 AND english_speaking<=0.2 THEN Class=hire ,[9.0; 9.0],[0; 9; 0],{0.0: 7; 1.0: 2},(2.5076623014767344e-09)
IF age>=18.0 THEN Class=reject ,[3580.0; 1372.0],[2208; 1372; 0],{0.0: 2185; 1.0: 1395},(1e-06)
IF TRUE THEN Class=reject ,[9750.0; 7790.0],[2210; 7540; 250],{0.0: 6184; 1.0: 3816},(1e-06)
