IF extra_degree!=False AND potential>=0.048715516986779464 THEN Class=hire ,[6.0; 2752.0],[6; 0; 2752],{0.0: 1888; 1.0: 870},(0.19254274000000002)
IF extra_degree==False AND experience<=23.0 AND potential<=0.9331973338641328 AND german_speaking<=0.2222222222222222 AND experiences<=0.31276595744680846 THEN Class=reject ,[5096.0; 7.0],[5096; 0; 7],{0.0: 2915; 1.0: 2188},(0.02287167944881957)
IF language_english==False AND experiences<=0.28085106382978725 THEN Class=reject ,[1167.0; 23.0],[1167; 0; 23],{0.0: 779; 1.0: 411},(0.051148979492367824)
IF language_dutch==False AND potential<=0.7660416646760858 AND english_speaking<=0.43333333333211116 AND german_speaking<=0.13636363636363635 THEN Class=reject ,[333.0; 8.0],[333; 0; 8],{0.0: 226; 1.0: 115},(0.07297682325469326)
IF language_french==False AND german_speaking<=0.13333333333333333 AND dutch_speaking<=0.3636363636342976 THEN Class=reject ,[179.0; 13.0],[179; 0; 13],{0.0: 131; 1.0: 61},(0.08613227146814403)
IF extra_degree!=False AND language_german==False AND experience>=2.0 THEN Class=hire ,[7.0; 138.0],[7; 0; 138],{0.0: 91; 1.0: 54},(0.1691822300295858)
IF degree==False THEN Class=reject ,[77.0; 0.0],[77; 0; 0],{0.0: 42; 1.0: 35},(0.05871379747007801)
IF experience<=13.0 THEN Class=reject ,[77.0; 6.0],[77; 0; 6],{0.0: 46; 1.0: 37},(0.09257094271442234)
IF potential<=0.7506153689344408 AND experience>=16.0 AND german_speaking<=0.125 AND experiences<=0.20851063829787236 AND dutch_speaking<=0.3333333333326389 THEN Class=reject ,[50.0; 7.0],[50; 0; 7],{0.0: 44; 1.0: 13},(0.1682493304114925)
IF age>=46.0 AND dutch_speaking<=0.3749999999984375 AND experience>=15.0 AND english_speaking<=0.37777777777777777 THEN Class=hire ,[0.0; 36.0],[0; 0; 36],{0.0: 33; 1.0: 3},(0.13580246913580246)
IF experiences<=0.23936170212765956 AND dutch_speaking<=0.4545454545417356 AND language_french!=False AND german_speaking<=0.09090909090909091 THEN Class=hire ,[2.0; 7.0],[2; 0; 7],{0.0: 8; 1.0: 1},(0.19444444444444445)
IF age>=36.0 THEN Class=reject ,[9.0; 0.0],[9; 0; 0],{1.0: 5; 0.0: 4},(1e-06)
IF TRUE THEN Class=reject ,[7003.0; 2997.0],[7003; 0; 2997],{0.0: 6207; 1.0: 3793},(1e-06)
