IF extra_degree==False AND dutch_speaking<=0.99999999985 THEN Class=reject ,[5576.0; 579.0],[5576; 0; 579],{0.0: 3773; 1.0: 2382},(0.1852225)
IF degrees<=0.8 AND english_speaking>=4.999999999e-11 AND experience>=2.0 AND french_speaking<=0.5999999999930001 AND potential<=0.8003570419482241 THEN Class=hire ,[27.0; 2344.0],[27; 0; 2344],{0.0: 1498; 1.0: 873},(0.06899602780704174)
IF age>=39.0 AND experiences<=0.2989361702127659 AND english_speaking<=0.4285714285663265 AND potential<=0.9335281670507751 THEN Class=hire ,[98.0; 435.0],[98; 0; 435],{0.0: 384; 1.0: 149},(0.0431721066555713)
IF potential<=0.8001363068306071 AND english_speaking>=0.14285714285714285 AND experiences<=0.2574468085106383 AND french_speaking<=0.49999999999166667 AND age<=38.0 THEN Class=hire ,[66.0; 246.0],[66; 0; 246],{0.0: 194; 1.0: 118},(0.052832302443530696)
IF language_french!=False AND english_speaking<=0.3333333333333333 AND dutch_speaking<=0.30952380952380953 AND language_english!=False AND age<=39.0 THEN Class=hire ,[92.0; 166.0],[92; 0; 166],{0.0: 163; 1.0: 95},(0.038282180057173036)
IF experiences<=0.248936170212766 AND experiences>=0.04042553191489362 AND potential<=0.8830390022892816 AND age>=22.0 AND english_speaking>=2.49999999975e-11 THEN Class=reject ,[61.0; 21.0],[61; 0; 21],{1.0: 62; 0.0: 20},(0.05063171584048358)
IF dutch_speaking<=0.23809523809523808 AND german_speaking<=0.08823529411764706 AND age<=43.0 AND experiences>=0.25957446808510637 AND experiences<=0.32872340425531915 THEN Class=reject ,[35.0; 10.0],[35; 0; 10],{1.0: 35; 0.0: 10},(0.051065001616359955)
IF english_speaking>=0.30434782608695654 AND french_speaking<=0.42424242424242425 AND potential<=0.9343389691144426 AND extra_degrees>=0.6 AND german_speaking<=0.13043478260869565 THEN Class=hire ,[24.0; 76.0],[24; 0; 76],{0.0: 74; 1.0: 26},(0.061206664875033616)
IF english_speaking>=0.27586206896551724 AND age<=46.0 AND french_speaking>=0.27906976744186046 AND experiences<=0.3712765957446808 AND dutch_speaking>=2.49999999975e-11 THEN Class=reject ,[32.0; 14.0],[32; 0; 14],{1.0: 33; 0.0: 13},(0.06471836419753084)
IF experiences>=0.013829787234042554 AND experiences<=0.3191489361702128 AND age>=25.0 AND german_speaking>=1.6666666665555557e-11 THEN Class=hire ,[3.0; 25.0],[3; 0; 25],{0.0: 24; 1.0: 4},(0.08309037900874637)
IF age>=30.0 AND language_french==False AND age<=36.0 THEN Class=hire ,[5.0; 15.0],[5; 0; 15],{0.0: 15; 1.0: 5},(0.07551020408163266)
IF age>=26.0 AND potential<=0.8491727064123596 AND experience<=14.0 AND experience>=2.0 THEN Class=reject ,[22.0; 7.0],[22; 0; 7],{1.0: 22; 0.0: 7},(0.08039999999999997)
IF age<=28.0 AND gender!=0 AND experience<=1.0 THEN Class=reject ,[7.0; 3.0],[7; 0; 3],{1.0: 7; 0.0: 3},(0.12925170068027209)
IF language_english==False THEN Class=hire ,[0.0; 5.0],[0; 0; 5],{0.0: 5},(0.08264462809917353)
IF age<=25.0 AND age>=24.0 THEN Class=reject ,[2.0; 1.0],[2; 0; 1],{1.0: 2; 0.0: 1},(0.16666666666666666)
IF age>=21.0 THEN Class=hire ,[0.0; 3.0],[0; 0; 3],{0.0: 3},(1e-06)
IF TRUE THEN Class=reject ,[6050.0; 3950.0],[6050; 0; 3950],{0.0: 6187; 1.0: 3813},(1e-06)
