IF extra_degree==False AND german_speaking<=0.33333333332777776 THEN Class=reject ,[6281.0; 244.0],[6281; 0; 244],{0.0: 3794; 1.0: 2731},(0.183878)
IF german_speaking>=0.023809523809523808 AND potential<=0.78334636358723 AND experiences<=0.29680851063829794 AND extra_degree!=False AND age>=23.0 THEN Class=hire ,[64.0; 1555.0],[64; 0; 1555],{0.0: 1114; 1.0: 505},(0.052238538377930716)
IF age>=42.0 AND potential>=0.04990749259380588 AND experiences>=0.0031914893617021275 AND potential<=0.932194083879151 AND degree!=False THEN Class=hire ,[55.0; 487.0],[55; 0; 487],{0.0: 417; 1.0: 125},(0.04321550330707492)
IF potential>=0.1494470904447413 AND experiences<=0.224468085106383 AND french_speaking<=0.45 AND dutch_speaking<=0.46153846153520717 AND german_speaking<=0.15625 THEN Class=hire ,[61.0; 328.0],[61; 0; 328],{0.0: 270; 1.0: 119},(0.04549877330886901)
IF age>=35.0 AND experience>=5.0 AND german_speaking<=0.09375 AND english_speaking<=0.3902439024390244 AND dutch_speaking<=0.49999999999166667 THEN Class=hire ,[81.0; 215.0],[81; 0; 215],{0.0: 202; 1.0: 94},(0.032475675675675685)
IF age<=29.0 AND english_speaking>=0.21428571428596938 AND experiences<=0.30106382978723406 AND french_speaking>=0.200000000002 AND potential>=0.049518222303615876 THEN Class=hire ,[49.0; 120.0],[49; 0; 120],{0.0: 113; 1.0: 56},(0.035721778076589626)
IF english_speaking<=0.399999999994 AND language_dutch!=False AND german_speaking<=0.17307692307692307 AND experience<=15.0 AND dutch_speaking<=0.39473684210526316 THEN Class=reject ,[102.0; 70.0],[102; 0; 70],{1.0: 107; 0.0: 65},(0.04534971644612479)
IF english_speaking>=0.38461538461538464 AND age<=39.0 AND experiences<=0.04042553191489362 AND potential>=0.04971694892056573 AND age>=31.0 THEN Class=hire ,[1.0; 30.0],[1; 0; 30],{0.0: 27; 1.0: 4},(0.03950858410493828)
IF english_speaking>=0.33333333332777776 AND experience<=21.0 AND german_speaking>=7.1428571426530615e-12 AND language_french!=False AND potential>=0.033211473757254084 THEN Class=reject ,[52.0; 34.0],[52; 0; 34],{1.0: 56; 0.0: 30},(0.0538993777347121)
IF english_speaking>=0.2647058823529412 AND age>=30.0 AND extra_degrees<=0.9 AND language_french!=False AND french_speaking<=0.4999999999950001 THEN Class=hire ,[6.0; 40.0],[6; 0; 40],{0.0: 37; 1.0: 9},(0.06244656475496733)
IF experiences<=0.02127659574468085 AND married==False AND experience<=9.0 AND potential<=0.15018313811126607 AND dutch_speaking<=0.499999999975 THEN Class=hire ,[10.0; 35.0],[10; 0; 35],{0.0: 34; 1.0: 11},(0.08127999999999999)
IF language_english!=False AND german_speaking>=1.2499999999375001e-11 AND age<=47.0 AND english_speaking>=4.999999999e-11 AND potential<=0.8166052221788114 THEN Class=hire ,[9.0; 19.0],[9; 0; 19],{0.0: 18; 1.0: 10},(0.08875000000000001)
IF english_speaking>=2.49999999975e-11 AND potential<=0.9005289686703121 AND language_german==False THEN Class=reject ,[26.0; 2.0],[26; 0; 2],{1.0: 25; 0.0: 3},(0.11686390532544379)
IF potential<=0.049624556051273486 AND experience>=1.0 AND age>=32.0 THEN Class=reject ,[8.0; 3.0],[8; 0; 3],{1.0: 6; 0.0: 5},(0.1232638888888889)
IF gender!=0 AND age<=40.0 THEN Class=hire ,[0.0; 8.0],[0; 0; 8],{0.0: 8},(0.1420118343195266)
IF age>=33.0 AND gender==0 THEN Class=hire ,[0.0; 2.0],[0; 0; 2],{0.0: 2},(0.24)
IF age>=25.0 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{1.0: 3},(1e-06)
IF TRUE THEN Class=reject ,[6808.0; 3192.0],[6808; 0; 3192],{0.0: 6139; 1.0: 3861},(1e-06)
