IF potential<=0.43321452071698435 THEN Class=hire ,[4608.0; 4608.0],[0; 4608; 0],{0.0: 2843; 1.0: 1765},(0.10036223999999999)
IF extra_degree!=False THEN Class=hire ,[1771.0; 2037.0],[9; 1762; 275],{0.0: 1207; 1.0: 839},(0.15160318286680344)
IF experiences<=0.07446808510638298 THEN Class=hire ,[44.0; 44.0],[0; 44; 0],{0.0: 25; 1.0: 19},(1.315002988643156e-08)
IF age>=18.0 AND german_speaking>=0.2 THEN Class=hire ,[11.0; 11.0],[0; 11; 0],{0.0: 7; 1.0: 4},(0.0021882558558016527)
IF french_speaking>=0.5294117647025951 THEN Class=hire ,[9.0; 9.0],[0; 9; 0],{1.0: 5; 0.0: 4},(2.7347310847766636e-09)
IF experiences<=0.07553191489361702 THEN Class=hire ,[9.0; 9.0],[0; 9; 0],{0.0: 6; 1.0: 3},(0.0018122783739793924)
IF age>=18.0 AND potential<=0.43327394386688683 THEN Class=hire ,[5.0; 5.0],[0; 5; 0],{0.0: 4; 1.0: 1},(0.001012365987527315)
IF age>=18.0 AND english_speaking>=0.45 THEN Class=hire ,[2.0; 2.0],[0; 2; 0],{1.0: 2},(0.0004061864689905002)
IF age>=18.0 THEN Class=reject ,[3266.0; 1097.0],[2169; 1097; 0],{0.0: 2007; 1.0: 1259},(1e-06)
IF TRUE THEN Class=reject ,[9725.0; 7822.0],[2178; 7547; 275],{0.0: 6103; 1.0: 3897},(1e-06)
