IF extra_degree==False THEN Class=reject ,[6116.0; 15.0],[6116; 0; 15],{0.0: 3739; 1.0: 2392},(0.21952255)
IF german_speaking>=1.351351351344047e-12 AND french_speaking<=0.99999999985 AND potential>=0.04887809900557517 THEN Class=hire ,[10.0; 3392.0],[10; 0; 3392],{0.0: 2123; 1.0: 1279},(0.0608229145240672)
IF language_english!=False AND language_dutch!=False AND age>=22.0 AND age<=62.0 AND experience<=32.0 THEN Class=hire ,[73.0; 115.0],[73; 0; 115],{0.0: 121; 1.0: 67},(0.07557006543200252)
IF gender==0 AND experience<=24.0 AND potential<=0.0 THEN Class=reject ,[105.0; 11.0],[105; 0; 11],{0.0: 69; 1.0: 47},(0.08426150743181614)
IF language_english!=False AND language_dutch==False AND language_german==False THEN Class=hire ,[24.0; 41.0],[24; 0; 41],{0.0: 43; 1.0: 22},(0.0753886107870074)
IF married==False AND experience>=6.0 AND experience<=29.0 AND dutch_speaking<=2.49999999975e-11 THEN Class=reject ,[28.0; 2.0],[28; 0; 2],{0.0: 17; 1.0: 13},(0.07642648896293212)
IF language_french!=False AND age>=25.0 AND age<=54.0 THEN Class=hire ,[8.0; 16.0],[8; 0; 16],{0.0: 16; 1.0: 8},(0.0847750865051903)
IF experience<=27.0 AND german_speaking<=1.6666666665555557e-11 AND age>=34.0 THEN Class=reject ,[14.0; 0.0],[14; 0; 0],{1.0: 9; 0.0: 5},(0.09400826446280991)
IF age>=24.0 AND language_dutch!=False AND experience<=33.0 AND language_english==False THEN Class=hire ,[4.0; 11.0],[4; 0; 11],{0.0: 11; 1.0: 4},(0.14999999999999997)
IF age<=63.0 AND french_speaking<=0.34210526315740997 THEN Class=reject ,[13.0; 0.0],[13; 0; 0],{1.0: 9; 0.0: 4},(0.11555555555555554)
IF age>=21.0 THEN Class=hire ,[0.0; 2.0],[0; 0; 2],{0.0: 2},(1e-06)
IF TRUE THEN Class=reject ,[6395.0; 3605.0],[6395; 0; 3605],{0.0: 6150; 1.0: 3850},(1e-06)
