IF extra_degree!=False AND potential>=0.048617234951728164 THEN Class=hire ,[2.0; 2847.0],[2; 0; 2847],{0.0: 1915; 1.0: 934},(0.19646647)
IF extra_degree==False AND experience<=27.0 AND experiences<=0.24148936170212765 AND potential<=0.9500660237145953 THEN Class=reject ,[5342.0; 12.0],[5342; 0; 12],{0.0: 3157; 1.0: 2197},(0.024496800259367034)
IF degree==False THEN Class=reject ,[779.0; 0.0],[779; 0; 0],{0.0: 498; 1.0: 281},(0.05741406022341694)
IF language_dutch==False AND german_speaking<=0.08823529411764706 AND experience<=38.0 AND english_speaking<=0.375 THEN Class=reject ,[362.0; 6.0],[362; 0; 6],{0.0: 260; 1.0: 108},(0.0786201998602754)
IF language_french!=False AND language_german==False AND experiences<=0.24255319148936177 AND experience>=1.0 AND french_speaking<=0.391304347826087 THEN Class=hire ,[51.0; 176.0],[51; 0; 176],{0.0: 158; 1.0: 69},(0.14612071005917163)
IF experience<=20.0 AND language_german==False AND german_speaking<=0.1590909090909091 THEN Class=reject ,[211.0; 0.0],[211; 0; 0],{0.0: 134; 1.0: 77},(0.0660373667767662)
IF potential<=0.7338795214399729 AND german_speaking<=0.15384615384615385 AND experience<=39.0 AND french_speaking<=0.4375 THEN Class=reject ,[138.0; 17.0],[138; 0; 17],{0.0: 107; 1.0: 48},(0.11294054823780712)
IF age>=45.0 AND potential>=0.15077068951045522 AND french_speaking<=0.375 AND german_speaking>=2.6315789473407203e-12 THEN Class=hire ,[2.0; 34.0],[2; 0; 34],{0.0: 30; 1.0: 6},(0.16435826408125573)
IF dutch_speaking>=0.200000000002 AND experience<=34.0 THEN Class=reject ,[13.0; 0.0],[13; 0; 0],{1.0: 7; 0.0: 6},(0.14739229024943315)
IF gender!=0 AND nationality==0 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{0.0: 3},(0.234375)
IF age>=41.0 THEN Class=hire ,[0.0; 5.0],[0; 0; 5],{1.0: 3; 0.0: 2},(1e-06)
IF TRUE THEN Class=reject ,[6903.0; 3097.0],[6903; 0; 3097],{0.0: 6270; 1.0: 3730},(1e-06)
