IF extra_degree==False THEN Class=reject ,[6146.0; 0.0],[6146; 0; 0],{0.0: 3791; 1.0: 2355},(0.23256464)
IF potential>=0.032598347823364376 AND potential<=0.8993167222866741 AND experiences<=0.2723404255319149 THEN Class=hire ,[1.0; 3342.0],[1; 0; 3342],{0.0: 2058; 1.0: 1285},(0.015495260452278838)
IF language_english!=False AND experience>=2.0 AND potential<=0.950918375102358 THEN Class=hire ,[6.0; 326.0],[6; 0; 326],{0.0: 195; 1.0: 137},(0.07598776046353992)
IF french_speaking<=0.23255813953488372 AND language_english==False AND experiences<=0.23936170212765956 THEN Class=reject ,[47.0; 17.0],[47; 0; 17],{0.0: 39; 1.0: 25},(0.1367310633251147)
IF experience>=3.0 AND potential<=0.950406391608092 THEN Class=hire ,[0.0; 65.0],[0; 0; 65],{0.0: 43; 1.0: 22},(0.07863894139886576)
IF english_speaking>=0.30952380952380953 AND german_speaking<=0.09090909090909091 AND experience<=7.0 AND potential>=0.833702236552434 AND dutch_speaking>=0.15789473684210525 THEN Class=reject ,[15.0; 3.0],[15; 0; 3],{0.0: 11; 1.0: 7},(0.18480000000000002)
IF language_french!=False THEN Class=hire ,[0.0; 25.0],[0; 0; 25],{0.0: 17; 1.0: 8},(0.0244140625)
IF language_german==False THEN Class=hire ,[0.0; 5.0],[0; 0; 5],{0.0: 3; 1.0: 2},(0.10204081632653064)
IF age>=24.0 THEN Class=reject ,[1.0; 1.0],[1; 0; 1],{1.0: 1; 0.0: 1},(1e-06)
IF TRUE THEN Class=reject ,[6216.0; 3784.0],[6216; 0; 3784],{0.0: 6158; 1.0: 3842},(1e-06)
