IF extra_degree!=False THEN Class=hire ,[843.0; 3291.0],[231; 612; 2679],{0.0: 2354; 1.0: 1168},(0.18748038)
IF language_english==False THEN Class=reject ,[4490.0; 231.0],[4263; 227; 4],{0.0: 2566; 1.0: 1928},(0.010841215157083715)
IF experience<=13.0 THEN Class=reject ,[1201.0; 245.0],[961; 240; 5],{0.0: 701; 1.0: 505},(0.029037237415452614)
IF degree==False THEN Class=reject ,[370.0; 0.0],[370; 0; 0],{0.0: 226; 1.0: 144},(0.05990576324502218)
IF nationality==0 AND potential<=0.8330986715356763 AND english_speaking>=0.200000000002 AND experience<=42.0 AND experiences<=0.274468085106383 THEN Class=hire ,[168.0; 238.0],[17; 151; 87],{0.0: 255},(0.19424019607843138)
IF potential<=0.8502910166982748 AND experiences<=0.2521276595744681 THEN Class=reject ,[115.0; 4.0],[111; 4; 0],{1.0: 95; 0.0: 20},(0.054039044811824484)
IF language_dutch!=False AND dutch_speaking>=0.22727272727272727 AND experience>=18.0 AND nationality==0 THEN Class=hire ,[2.0; 11.0],[1; 1; 10],{0.0: 12},(0.18975069252077562)
IF age>=43.0 THEN Class=reject ,[22.0; 0.0],[22; 0; 0],{0.0: 17; 1.0: 5},(0.03254437869822483)
IF gender!=0 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{1.0: 2; 0.0: 1},(0.1875)
IF TRUE THEN Class=reject ,[7214.0; 4021.0],[5979; 1235; 2786],{0.0: 6153; 1.0: 3847},(1e-06)
