IF extra_degree==False THEN Class=reject ,[6185.0; 0.0],[6185; 0; 0],{0.0: 3772; 1.0: 2413},(0.23088605)
IF english_speaking>=0.1111111111111111 AND potential<=0.8832547384350103 THEN Class=hire ,[4.0; 3245.0],[4; 0; 3245],{0.0: 2019; 1.0: 1230},(0.01725670724480347)
IF language_english!=False AND experience>=2.0 THEN Class=hire ,[4.0; 360.0],[4; 0; 360],{0.0: 225; 1.0: 139},(0.08155926531733448)
IF french_speaking<=0.275 AND language_english==False AND experience<=20.0 AND english_speaking<=0.3 THEN Class=reject ,[49.0; 11.0],[49; 0; 11],{0.0: 33; 1.0: 27},(0.13376139594157435)
IF experience>=2.0 AND age<=59.0 AND potential>=0.0494657268089619 THEN Class=hire ,[1.0; 73.0],[1; 0; 73],{1.0: 37; 0.0: 37},(0.08470541559214442)
IF language_dutch!=False AND potential>=0.05034247835697888 AND age<=61.0 AND experiences<=0.29148936170212764 THEN Class=reject ,[19.0; 2.0],[19; 0; 2],{0.0: 12; 1.0: 9},(0.17041522491349484)
IF age<=34.0 AND experiences<=0.2946808510638298 THEN Class=hire ,[0.0; 28.0],[0; 0; 28],{1.0: 14; 0.0: 14},(0.06337709370756)
IF age>=52.0 AND gender==0 THEN Class=hire ,[0.0; 9.0],[0; 0; 9],{0.0: 6; 1.0: 3},(0.12465373961218838)
IF age>=45.0 AND experience<=22.0 THEN Class=hire ,[0.0; 4.0],[0; 0; 4],{0.0: 4},(0.2)
IF experience>=28.0 THEN Class=hire ,[1.0; 1.0],[1; 0; 1],{0.0: 2},(0.11111111111111112)
IF age>=23.0 THEN Class=reject ,[4.0; 0.0],[4; 0; 0],{0.0: 4},(1e-06)
IF TRUE THEN Class=reject ,[6267.0; 3733.0],[6267; 0; 3733],{0.0: 6128; 1.0: 3872},(1e-06)
