IF extra_degree==False THEN Class=reject ,[6181.0; 8.0],[6181; 0; 8],{0.0: 3838; 1.0: 2351},(0.21977596000000005)
IF english_speaking>=0.11111111111419755 AND potential<=0.9500268751457097 AND experiences<=0.36914893617021277 THEN Class=hire ,[5.0; 3317.0],[5; 0; 3317],{0.0: 2015; 1.0: 1307},(0.05701397045564282)
IF nationality!=0 AND potential<=0.0 THEN Class=reject ,[149.0; 0.0],[149; 0; 0],{1.0: 149},(0.14892460302524663)
IF language_french!=False AND language_dutch!=False AND experiences<=0.25531914893617025 THEN Class=hire ,[2.0; 126.0],[2; 0; 126],{0.0: 119; 1.0: 9},(0.10595155709342563)
IF language_english!=False AND age<=57.0 AND age>=22.0 AND experiences<=0.3021276595744681 THEN Class=hire ,[27.0; 79.0],[27; 0; 79],{0.0: 96; 1.0: 10},(0.10613207547169806)
IF french_speaking<=4.999999999e-11 AND experience<=24.0 AND age>=31.0 THEN Class=reject ,[44.0; 5.0],[44; 0; 5],{0.0: 47; 1.0: 2},(0.10110359558561767)
IF experience>=2.0 AND age<=62.0 AND language_german==False AND nationality==0 AND age>=26.0 THEN Class=hire ,[3.0; 23.0],[3; 0; 23],{0.0: 26},(0.1714373653431825)
IF gender==0 AND experience<=31.0 THEN Class=reject ,[14.0; 0.0],[14; 0; 0],{0.0: 13; 1.0: 1},(0.08740894901144643)
IF potential<=0.9501098022593018 AND language_english==False AND age<=44.0 THEN Class=reject ,[8.0; 0.0],[8; 0; 0],{0.0: 5; 1.0: 3},(0.16608996539792387)
IF age>=58.0 AND age<=63.0 THEN Class=reject ,[3.0; 0.0],[3; 0; 0],{0.0: 3},(0.22222222222222224)
IF age>=20.0 THEN Class=hire ,[0.0; 6.0],[0; 0; 6],{0.0: 5; 1.0: 1},(1e-06)
IF TRUE THEN Class=reject ,[6436.0; 3564.0],[6436; 0; 3564],{0.0: 6167; 1.0: 3833},(1e-06)
