IF degree!=False AND potential<=0.7831880924693774 AND experiences<=0.3085106382978723 AND experience<=42.0 THEN Class=hire ,[3580.0; 4498.0],[760; 2820; 1678],{0.0: 3337; 1.0: 1921},(0.15230236000000003)
IF extra_degree==False THEN Class=reject ,[3959.0; 595.0],[3368; 591; 4],{0.0: 2322; 1.0: 1641},(0.08568961447378087)
IF experience>=8.0 AND potential<=0.899029844304901 AND experiences<=0.31276595744680846 AND potential>=0.7831977386590359 AND english_speaking>=0.24 THEN Class=hire ,[81.0; 286.0],[28; 53; 233],{0.0: 209; 1.0: 105},(0.07478730013298375)
IF experiences<=0.23191489361702128 AND language_english!=False AND french_speaking>=0.2631578947368421 AND experience<=17.0 AND potential>=0.783241672744625 THEN Class=hire ,[29.0; 86.0],[19; 10; 76],{0.0: 76; 1.0: 29},(0.04946236559139785)
IF age>=41.0 AND experiences>=0.22234042553191494 AND french_speaking>=0.2727272727272727 AND potential<=0.9337789254280147 AND german_speaking<=0.1282051282051282 THEN Class=hire ,[28.0; 68.0],[22; 6; 62],{0.0: 62; 1.0: 28},(0.05486111111111111)
IF age>=29.0 AND german_speaking<=0.11627906976744186 AND german_speaking>=0.02631578947368421 AND potential<=0.9337185546871212 AND experience<=20.0 THEN Class=reject ,[94.0; 47.0],[87; 7; 40],{1.0: 94; 0.0: 40},(0.06507544581618654)
IF gender!=0 AND experience<=2.0 AND english_speaking>=0.2702702702702703 AND german_speaking>=0.05 AND dutch_speaking>=0.2 THEN Class=reject ,[26.0; 5.0],[26; 0; 5],{1.0: 26; 0.0: 5},(0.09061418685121109)
IF experiences<=0.2957446808510638 AND potential<=0.9337315643476863 AND dutch_speaking>=0.175 AND dutch_speaking<=0.3333333333333333 AND experience<=24.0 THEN Class=hire ,[11.0; 52.0],[10; 1; 51],{0.0: 51; 1.0: 11},(0.0847165532879819)
IF potential>=0.7999074222359293 AND potential<=0.9003829580989379 AND english_speaking<=0.37777777777777777 AND age>=21.0 AND german_speaking<=0.13513513513513514 THEN Class=reject ,[16.0; 4.0],[15; 1; 3],{1.0: 16; 0.0: 3},(0.1357490535424554)
IF experiences<=0.2542553191489362 AND age>=26.0 AND age<=47.0 AND experiences>=0.2042553191489362 THEN Class=reject ,[6.0; 2.0],[6; 0; 2],{1.0: 6; 0.0: 2},(0.15277777777777776)
IF german_speaking>=0.029411764705882353 THEN Class=hire ,[0.0; 14.0],[0; 0; 14],{0.0: 14},(0.0546875)
IF age>=23.0 THEN Class=hire ,[1.0; 1.0],[1; 0; 1],{0.0: 1; 1.0: 1},(1e-06)
IF TRUE THEN Class=reject ,[7831.0; 5658.0],[4342; 3489; 2169],{0.0: 6122; 1.0: 3878},(1e-06)
