IF extra_degree==False THEN Class=reject ,[5899.0; 901.0],[5262; 637; 264],{0.0: 3794; 1.0: 2369},(0.1862235)
IF nationality==0 THEN Class=hire ,[1.0; 2394.0],[1; 0; 2394],{0.0: 2395},(0.0617187122709359)
IF potential<=0.7666638175355113 AND potential>=0.033182318110698675 AND experience>=1.0 AND french_speaking<=0.714285714272449 THEN Class=hire ,[215.0; 920.0],[13; 202; 718],{1.0: 933},(0.16148880138349994)
IF experience>=15.0 AND experiences<=0.2776595744680851 AND age>=41.0 AND english_speaking<=0.375 THEN Class=hire ,[46.0; 66.0],[26; 20; 46],{1.0: 92},(0.07924162713591502)
IF experience<=7.0 AND german_speaking<=0.13953488372093023 AND age<=38.0 THEN Class=reject ,[244.0; 35.0],[209; 35; 0],{1.0: 244},(0.03928943176394138)
IF potential>=0.817102393882096 AND experiences>=0.2042553191489362 AND experience<=25.0 THEN Class=reject ,[80.0; 2.0],[78; 2; 0],{1.0: 80},(0.07484379698620068)
IF potential>=0.04971314895738833 AND degrees<=0.85 AND experience<=15.0 THEN Class=hire ,[15.0; 31.0],[6; 9; 22],{1.0: 37},(0.16649323621227885)
IF english_speaking>=0.3055555555555556 AND married!=False AND experience>=9.0 THEN Class=hire ,[0.0; 6.0],[0; 0; 6],{1.0: 6},(0.09183673469387756)
IF age>=25.0 THEN Class=reject ,[50.0; 2.0],[48; 2; 0],{1.0: 50},(1e-06)
IF TRUE THEN Class=reject ,[6550.0; 4357.0],[5643; 907; 3450],{0.0: 6189; 1.0: 3811},(1e-06)
